title,year,rating_score,rating_people,runtime,star5,star4,director,screenwriter,actor_1,actor_2,actor_3,country,genre_1,genre_2,imdb_link,quote
阳光姐妹淘,2011,8.8,229836,124,52.4%,36.4%,姜炯哲,姜炯哲,沈恩京,闵孝琳,姜素拉,韩国,剧情,喜剧,http://www.imdb.com/title/tt1937339,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
上帝之城,2002,8.9,138664,130,54.2%,36.6%,卡迪亚·兰德,布罗里欧·曼托伐尼,亚历桑德雷·罗德里格斯,Leandro Firmino,菲利佩·哈根森,巴西/法国,剧情,犯罪,http://www.imdb.com/title/tt0317248,被上帝抛弃了的上帝之城。
素媛,2013,9.0,132704,123,60.0%,33.0%,李濬益,金智慧,薛耿求,严志媛,李来,www.wish-movie.kr,剧情,家庭,http://www.wish-movie.kr,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
大闹天宫,1961,9.2,80081,114,67.7%,24.3%,万籁鸣,李克弱,邱岳峰,富润生,毕克,中国大陆,动画,奇幻,http://www.imdb.com/title/tt0059855,经典之作，历久弥新。
春光乍泄,1997,8.7,199342,96,49.1%,38.6%,王家卫,王家卫,张国荣,梁朝伟,张震,香港/日本/韩国,剧情,爱情,http://www.imdb.com/title/tt0118845,爱情纠缠，男女一致。
重庆森林,1994,8.6,268388,102,45.5%,40.7%,王家卫,王家卫,林青霞,金城武,梁朝伟,香港,剧情,爱情,http://www.imdb.com/title/tt0109424,寂寞没有期限。
禁闭岛,2010,8.6,306223,138,43.0%,44.9%,马丁·斯科塞斯,莱塔·卡罗格里迪斯,莱昂纳多·迪卡普里奥,马克·鲁弗洛,本·金斯利,美国,剧情,悬疑,http://www.imdb.com/title/tt1130884,昔日翩翩少年，今日大腹便便。
萤火虫之墓,1988,8.7,178144,89,52.9%,33.7%,高畑勋,高畑勋,辰己努,白石绫乃,志乃原良子,日本,剧情,动画,http://www.imdb.com/title/tt0095327,幸福是生生不息，却难以触及的远。 
致命ID,2003,8.6,268403,90,43.1%,44.5%,詹姆斯·曼高德,Michael Cooney,约翰·库萨克,雷·利奥塔,阿曼达·皮特,美国,剧情,悬疑,http://www.imdb.com/title/tt0309698,最不可能的那个人永远是最可能的。
告白,2010,8.6,290026,106,48.5%,37.9%,中岛哲也,中岛哲也,松隆子,冈田将生,木村佳乃,kokuhaku-shimasu.jp,剧情,惊悚,http://kokuhaku-shimasu.jp,没有一人完全善，也没有一人完全恶。
甜蜜蜜,1996,8.7,198577,118,46.8%,41.5%,陈可辛,岸西,黎明,张曼玉,杨恭如,香港,剧情,爱情,http://www.imdb.com/title/tt0117905,逢只要一瞬间，等待却像是一辈子。
一一,2000,8.9,130741,173,57.1%,31.0%,杨德昌,杨德昌,吴念真,李凯莉,金燕玲,台湾/日本,剧情,爱情,http://www.imdb.com/title/tt0244316,我们都曾经是一一。
